threshold,precision,recall,f1,tp,fp,fn,fp_on_background_slices,fp_on_foreground_slices
0.05,0.3204,0.6875,0.4371,66,140,30,76,64
0.1,0.4586,0.6354,0.5328,61,72,35,40,32
0.15,0.5505,0.625,0.5854,60,49,36,26,23
0.2,0.6786,0.5938,0.6333,57,27,39,15,12
0.25,0.7808,0.5938,0.6746,57,16,39,8,8
0.3,0.7887,0.5833,0.6707,56,15,40,8,7
0.35,0.8387,0.5417,0.6582,52,10,44,5,5
0.4,0.8596,0.5104,0.6405,49,8,47,4,4
0.45,0.9057,0.5,0.6443,48,5,48,1,4
0.5,0.9375,0.4688,0.625,45,3,51,1,2
0.55,0.9767,0.4375,0.6043,42,1,54,0,1
0.6,0.9762,0.4271,0.5942,41,1,55,0,1
0.65,1.0,0.4062,0.5778,39,0,57,0,0
0.7,1.0,0.375,0.5455,36,0,60,0,0
0.75,1.0,0.3125,0.4762,30,0,66,0,0
0.8,1.0,0.3021,0.464,29,0,67,0,0
0.85,1.0,0.2708,0.4262,26,0,70,0,0
0.9,1.0,0.2604,0.4132,25,0,71,0,0
0.95,1.0,0.2292,0.3729,22,0,74,0,0
