threshold,precision,recall,f1,tp,fp,fn,fp_on_neg_slices,fp_on_pos_slices
0.05,0.0076,0.9271,0.015,89,11673,7,5398,6275
0.1,0.0386,0.8646,0.0738,83,2069,13,1170,899
0.15,0.0713,0.8542,0.1316,82,1068,14,583,485
0.2,0.1007,0.8542,0.1802,82,732,14,384,348
0.25,0.1268,0.8438,0.2204,81,558,15,288,270
0.3,0.1541,0.8333,0.2602,80,439,16,220,219
0.35,0.1812,0.8229,0.297,79,357,17,178,179
0.4,0.2188,0.8229,0.3457,79,282,17,129,153
0.45,0.2557,0.8229,0.3901,79,230,17,98,132
0.5,0.3035,0.8125,0.4419,78,179,18,69,110
0.55,0.3538,0.7812,0.487,75,137,21,54,83
0.6,0.4195,0.7604,0.5407,73,101,23,39,62
0.65,0.4865,0.75,0.5902,72,76,24,29,47
0.7,0.6034,0.7292,0.6604,70,46,26,12,34
0.75,0.67,0.6979,0.6837,67,33,29,6,27
0.8,0.7722,0.6354,0.6971,61,18,35,2,16
0.85,0.8667,0.5417,0.6667,52,8,44,0,8
0.9,0.9459,0.3646,0.5263,35,2,61,0,2
0.95,0.9412,0.1667,0.2832,16,1,80,0,1
