threshold,precision,recall,f1,tp,fp,fn,fp_on_background_slices,fp_on_foreground_slices
0.05,0.2976,0.5208,0.3788,50,118,46,7,111
0.1,0.8704,0.4896,0.6267,47,7,49,2,5
0.15,0.88,0.4583,0.6027,44,6,52,2,4
0.2,0.8913,0.4271,0.5775,41,5,55,2,3
0.25,0.9524,0.4167,0.5797,40,2,56,1,1
0.3,0.9474,0.375,0.5373,36,2,60,1,1
0.35,0.973,0.375,0.5414,36,1,60,1,0
0.4,0.9722,0.3646,0.5303,35,1,61,1,0
0.45,0.9714,0.3542,0.5191,34,1,62,1,0
0.5,1.0,0.3542,0.5231,34,0,62,0,0
0.55,1.0,0.3438,0.5116,33,0,63,0,0
0.6,1.0,0.3438,0.5116,33,0,63,0,0
0.65,1.0,0.3021,0.464,29,0,67,0,0
0.7,1.0,0.2812,0.439,27,0,69,0,0
0.75,1.0,0.25,0.4,24,0,72,0,0
0.8,1.0,0.2396,0.3866,23,0,73,0,0
0.85,1.0,0.2292,0.3729,22,0,74,0,0
0.9,1.0,0.2292,0.3729,22,0,74,0,0
0.95,1.0,0.1979,0.3304,19,0,77,0,0
