threshold,precision,recall,f1,tp,fp,fn,fp_on_background_slices,fp_on_foreground_slices
0.05,0.1932,0.5938,0.2916,57,238,39,32,206
0.1,0.6222,0.5833,0.6022,56,34,40,18,16
0.15,0.6875,0.5729,0.625,55,25,41,12,13
0.2,0.7465,0.5521,0.6347,53,18,43,7,11
0.25,0.8095,0.5312,0.6415,51,12,45,6,6
0.3,0.8772,0.5208,0.6536,50,7,46,2,5
0.35,0.8772,0.5208,0.6536,50,7,46,2,5
0.4,0.8909,0.5104,0.649,49,6,47,2,4
0.45,0.9231,0.5,0.6486,48,4,48,2,2
0.5,0.9375,0.4688,0.625,45,3,51,2,1
0.55,0.9778,0.4583,0.6241,44,1,52,1,0
0.6,0.9744,0.3958,0.563,38,1,58,1,0
0.65,0.9714,0.3542,0.5191,34,1,62,1,0
0.7,1.0,0.3229,0.4882,31,0,65,0,0
0.75,1.0,0.2812,0.439,27,0,69,0,0
0.8,1.0,0.2604,0.4132,25,0,71,0,0
0.85,1.0,0.2396,0.3866,23,0,73,0,0
0.9,1.0,0.2292,0.3729,22,0,74,0,0
0.95,1.0,0.2083,0.3448,20,0,76,0,0
