threshold,precision,recall,f1,tp,fp,fn,fp_on_neg_slices,fp_on_pos_slices
0.05,0.0112,0.9688,0.0221,93,8219,3,3775,4444
0.1,0.0294,0.9167,0.0569,88,2909,8,1322,1587
0.15,0.0451,0.8854,0.0858,85,1801,11,939,862
0.2,0.0549,0.8646,0.1032,83,1429,13,727,702
0.25,0.0639,0.8542,0.1188,82,1202,14,614,588
0.3,0.0729,0.8438,0.1342,81,1030,15,512,518
0.35,0.0862,0.8438,0.1564,81,859,15,417,442
0.4,0.1002,0.8438,0.1792,81,727,15,353,374
0.45,0.114,0.8333,0.2005,80,622,16,294,328
0.5,0.131,0.8229,0.226,79,524,17,247,277
0.55,0.1592,0.8125,0.2662,78,412,18,190,222
0.6,0.1887,0.8021,0.3056,77,331,19,155,176
0.65,0.2397,0.7917,0.368,76,241,20,105,136
0.7,0.2964,0.7812,0.4298,75,178,21,79,99
0.75,0.3892,0.75,0.5125,72,113,24,50,63
0.8,0.5484,0.7083,0.6182,68,56,28,22,34
0.85,0.7284,0.6146,0.6667,59,22,37,8,14
0.9,0.9412,0.3333,0.4923,32,2,64,0,2
0.95,1.0,0.0729,0.1359,7,0,89,0,0
