threshold,precision,recall,f1,tp,fp,fn,fp_on_background_slices,fp_on_foreground_slices
0.05,0.0823,0.625,0.1455,60,669,36,422,247
0.1,0.4567,0.6042,0.5202,58,69,38,39,30
0.15,0.6374,0.6042,0.6203,58,33,38,17,16
0.2,0.7089,0.5833,0.64,56,23,40,11,12
0.25,0.8525,0.5417,0.6624,52,9,44,4,5
0.3,0.9273,0.5312,0.6755,51,4,45,4,0
0.35,0.96,0.5,0.6575,48,2,48,2,0
0.4,0.9773,0.4479,0.6143,43,1,53,1,0
0.45,1.0,0.4271,0.5985,41,0,55,0,0
0.5,1.0,0.3958,0.5672,38,0,58,0,0
0.55,1.0,0.375,0.5455,36,0,60,0,0
0.6,1.0,0.3646,0.5344,35,0,61,0,0
0.65,1.0,0.3646,0.5344,35,0,61,0,0
0.7,1.0,0.3646,0.5344,35,0,61,0,0
0.75,1.0,0.3125,0.4762,30,0,66,0,0
0.8,1.0,0.2812,0.439,27,0,69,0,0
0.85,1.0,0.2188,0.359,21,0,75,0,0
0.9,1.0,0.1875,0.3158,18,0,78,0,0
0.95,1.0,0.1667,0.2857,16,0,80,0,0
