threshold,precision,recall,f1,tp,fp,fn,fp_on_background_slices,fp_on_foreground_slices
0.05,0.1227,0.7083,0.2092,68,486,28,225,261
0.1,0.1908,0.6875,0.2986,66,280,30,131,149
0.15,0.2274,0.6562,0.3378,63,214,33,101,113
0.2,0.2751,0.6562,0.3877,63,166,33,77,89
0.25,0.3166,0.6562,0.4271,63,136,33,62,74
0.3,0.3647,0.6458,0.4662,62,108,34,48,60
0.35,0.4052,0.6458,0.498,62,91,34,42,49
0.4,0.4692,0.6354,0.5398,61,69,35,34,35
0.45,0.5221,0.6146,0.5646,59,54,37,27,27
0.5,0.6064,0.5938,0.6,57,37,39,19,18
0.55,0.6292,0.5833,0.6054,56,33,40,19,14
0.6,0.6875,0.5729,0.625,55,25,41,15,10
0.65,0.75,0.5625,0.6429,54,18,42,10,8
0.7,0.803,0.5521,0.6543,53,13,43,9,4
0.75,0.8125,0.5417,0.65,52,12,44,8,4
0.8,0.85,0.5312,0.6538,51,9,45,6,3
0.85,0.8596,0.5104,0.6405,49,8,47,5,3
0.9,0.9074,0.5104,0.6533,49,5,47,4,1
0.95,0.92,0.4792,0.6301,46,4,50,3,1
