threshold,precision,recall,f1,tp,fp,fn,fp_on_neg_slices,fp_on_pos_slices
0.05,0.003,0.9792,0.0059,94,31680,2,17655,14025
0.1,0.0121,0.9375,0.0238,90,7375,6,4195,3180
0.15,0.0197,0.9167,0.0385,88,4386,8,2634,1752
0.2,0.0257,0.9167,0.05,88,3333,8,1969,1364
0.25,0.0314,0.9167,0.0608,88,2713,8,1597,1116
0.3,0.0378,0.9167,0.0726,88,2239,8,1291,948
0.35,0.0455,0.9167,0.0868,88,1844,8,1049,795
0.4,0.0556,0.9167,0.1049,88,1494,8,834,660
0.45,0.0656,0.8854,0.1221,85,1211,11,662,549
0.5,0.081,0.8854,0.1483,85,965,11,514,451
0.55,0.1034,0.875,0.185,84,728,12,372,356
0.6,0.1284,0.8333,0.2225,80,543,16,275,268
0.65,0.1711,0.8021,0.2821,77,373,19,185,188
0.7,0.2517,0.7708,0.3795,74,220,22,109,111
0.75,0.3641,0.7396,0.488,71,124,25,55,69
0.8,0.5,0.7292,0.5932,70,70,26,30,40
0.85,0.6562,0.6562,0.6562,63,33,33,17,16
0.9,0.7945,0.6042,0.6864,58,15,38,7,8
0.95,0.8571,0.5,0.6316,48,8,48,4,4
