run_tag,sigma,best_f1,best_threshold,precision_at_best,recall_at_best,tp,fp,fn,fp_on_background_slices,fp_on_foreground_slices,n_foreground_slices,n_background_slices,hit_distance
sigma08_hitdist24,8.0,0.6543,0.7,0.803,0.5521,53,13,43,9,4,96,159,24
sigma10_hitdist24,10.0,0.6746,0.25,0.7808,0.5938,57,16,39,8,8,96,159,24
sigma12_hitdist24,12.0,0.7237,0.4,0.9821,0.5729,55,1,41,0,1,96,159,24
sigma14_hitdist24,14.0,0.6755,0.3,0.9273,0.5312,51,4,45,4,0,96,159,24
sigma16_hitdist24,16.0,0.7205,0.15,0.8923,0.6042,58,7,38,3,4,96,159,24
