threshold,precision,recall,f1,tp,fp,fn,fp_on_neg_slices,fp_on_pos_slices
0.05,0.0568,0.8333,0.1064,80,1328,16,857,471
0.1,0.0951,0.8021,0.17,77,733,19,452,281
0.15,0.1317,0.7917,0.2259,76,501,20,298,203
0.2,0.1598,0.7708,0.2648,74,389,22,234,155
0.25,0.1867,0.7604,0.2998,73,318,23,185,133
0.3,0.2186,0.7604,0.3395,73,261,23,153,108
0.35,0.2433,0.7604,0.3687,73,227,23,129,98
0.4,0.2655,0.7604,0.3935,73,202,23,113,89
0.45,0.2944,0.7604,0.4244,73,175,23,102,73
0.5,0.346,0.7604,0.4756,73,138,23,82,56
0.55,0.3989,0.7604,0.5233,73,110,23,66,44
0.6,0.471,0.7604,0.5817,73,82,23,49,33
0.65,0.5703,0.7604,0.6518,73,55,23,32,23
0.7,0.6261,0.75,0.6825,72,43,24,26,17
0.75,0.7071,0.7292,0.7179,70,29,26,18,11
0.8,0.7349,0.6354,0.6816,61,22,35,14,8
0.85,0.8387,0.5417,0.6582,52,10,44,7,3
0.9,0.9333,0.2917,0.4444,28,2,68,1,1
0.95,0.8333,0.0521,0.098,5,1,91,1,0
